"Factsheet Id","Workspace Id","Workspace Name","Display Name","Category","Release","Technopedia Status","Technopedia External Id","Asset Provider","Asset Edition","Asset Version","Asset Manufacturer","Asset Name","Asset External Id","Asset Taxonomy Id","LTLS Id","LTLS Full Name","LTLS Base Name","LTLS Version","LTLS Provider Name","LTLS Edition","Tech Stack Name","Technolot LTLS Id","Migration Success Flag","Migration Comment"
"1f4163a3-7dad-4ea7-b768-26dd8d295f8e","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Alation Data Catalog","software","","MISSING",,,,,,,,,,,,,,,,"None",false,
"364b85fe-c3a6-40a4-8f86-2b01e239283a","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Arc Console Operator","software","","MISSING",,,,,,,,,,,,,,,,"None",false,
"f077d4f7-cca7-429a-b9df-64615a295f68","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","ESRI ArcGIS for Server 10.6.1","software","10.6.1","MISSING",,,,,,,,,"lx_ITC_016241",,,,,,,"None",false,
"675ac76e-f443-489d-ab52-aa0beac6d46c","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","ESRI ArcGIS for Server 10.7","software","10.7","MISSING",,,,,,,,,"lx_ITC_016242",,,,,,,"None",false,
"7deccf9a-1091-4f3a-a135-b201b29699a4","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","ESRI ArcGIS for Server 10.7.1","software","10.7.1","MISSING",,,,,,,,,"lx_ITC_016243",,,,,,,"None",false,
"f5956e2a-761a-4236-a7c6-07a467b6874a","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","GuideVision SnowMirror","software","","MISSING",,,,,,,,,,,,,,,,"None",false,
"51f5e40d-ec96-47d9-8e19-e19cdcb85801","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Hortonworks Hortonworks Apache Accumulo 1.7.1","software","1.7.1","MISSING",,,,,,,,,"lx_ITC_016244",,,,,,,"None",false,
"17dbd074-eaeb-42e6-b389-12d168815918","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Informatica Axon Data Governance","software","","MISSING",,,,,,,,,,,,,,,,"None",false,
"1b84b5b0-1c2b-44e5-a48d-4fa3aa7443cb","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Insider Technologies SMARTFIX SUITE","software","","MISSING",,,,,,,,,,,,,,,,"None",false,
"fd4ba818-1f22-4c88-b0f4-7cbb38e37c47","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","JFrog Artifactory Cloud (SaaS)","software","","MISSING",,,,,,,,,,,,,,,,"None",false,
"70ae1717-eb02-4a71-a3e2-bcf015ee5e14","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","Twilio SendGrid Email API","software","","MISSING",,,,,,,,,,,,,,,,"None",false,
"7e4193a5-4780-4df4-ba91-1696db210289","4228d34d-7aa7-43bb-9c32-c0318cb488fc","munichreSandbox","B2B Data Exchange 10.2","software","10.2","LIFECYCLE_ONLY","sw_423274315",,,"10 (10.2)","Informatica","Informatica B2B Data Exchange 10 (10.2)","423274315",,"lx_ITC_018790","Informatica B2B Data Exchange 10.2","B2B Data Exchange","10.2","Informatica","","Business Intelligence (BI) / Business Performance Management","None",false,
